ID User;Install Date;Country;Platform;Purchase Date;IAP Name;Purchases
3ffdda7828a5;16/09/2019;GB;ANDROID;28/09/2019;SpecialPack0;1
beff2249e4eb;08/09/2019;FR;ANDROID;15/09/2019;Pack1;1
f12f2efd9bfc;09/09/2019;GB;ANDROID;09/09/2019;SpecialPack0;1
f12f2efd9bfc;09/09/2019;GB;ANDROID;09/09/2019;Pack1;1
0730ab83d336;10/10/2019;US;ANDROID;20/10/2019;Pack0;2
20448c712e9d;06/09/2019;US;IOS;06/09/2019;SpecialPack0;1
20448c712e9d;06/09/2019;US;IOS;06/09/2019;SpecialPack1;1
20448c712e9d;06/09/2019;US;IOS;06/09/2019;PiggyBank1;1
20448c712e9d;06/09/2019;US;IOS;06/09/2019;Pack0;2
20448c712e9d;06/09/2019;US;IOS;07/09/2019;Pack0;1
20448c712e9d;06/09/2019;US;IOS;07/09/2019;Pack2;1
20448c712e9d;06/09/2019;US;IOS;07/09/2019;SpecialPack1;1
20448c712e9d;06/09/2019;US;IOS;08/09/2019;Pack2;1
20448c712e9d;06/09/2019;US;IOS;08/09/2019;Pack3;1
20448c712e9d;06/09/2019;US;IOS;08/09/2019;Pack0;2
e31423e4f365;17/10/2019;US;ANDROID;20/10/2019;Pack1;1
e31423e4f365;17/10/2019;US;ANDROID;22/10/2019;Pack1;1
f7f869b8ee91;29/08/2019;US;ANDROID;06/09/2019;Pack1;1
f7f869b8ee91;29/08/2019;US;ANDROID;11/09/2019;Pack1;1
f7f869b8ee91;29/08/2019;US;ANDROID;19/09/2019;Pack1;1
70dad14663a5;10/09/2019;US;ANDROID;15/09/2019;SpecialPack0;1
70dad14663a5;10/09/2019;US;ANDROID;18/09/2019;Pack1;1
70dad14663a5;10/09/2019;US;ANDROID;21/09/2019;SpecialPack0;1
70dad14663a5;10/09/2019;US;ANDROID;21/09/2019;SpecialPack1;1
70dad14663a5;10/09/2019;US;ANDROID;21/09/2019;Pack1;1
70dad14663a5;10/09/2019;US;ANDROID;23/09/2019;SpecialPack0;1
70dad14663a5;10/09/2019;US;ANDROID;23/09/2019;SpecialPack1;1
70dad14663a5;10/09/2019;US;ANDROID;24/09/2019;SpecialPack0;1
70dad14663a5;10/09/2019;US;ANDROID;24/09/2019;SpecialPack1;1
70dad14663a5;10/09/2019;US;ANDROID;24/09/2019;Pack1;3
7ac92bc22173;29/08/2019;GB;ANDROID;02/09/2019;Pack1;1
57e3e9944d6f;22/09/2019;CA;ANDROID;22/09/2019;SpecialPack0;1
57e3e9944d6f;22/09/2019;CA;ANDROID;23/09/2019;SpecialPack0;1
094d84c00aab;20/10/2019;GB;ANDROID;21/10/2019;Pack1;1
fb874e87ad57;12/09/2019;SE;ANDROID;19/09/2019;SpecialPack0;1
fb874e87ad57;12/09/2019;SE;ANDROID;19/09/2019;Pack0;1
9068698fb066;27/09/2019;US;ANDROID;09/10/2019;SpecialPack1;1
9ade95782cee;01/09/2019;FR;ANDROID;19/09/2019;Pack1;1
323970d0b5f7;16/09/2019;DE;ANDROID;29/09/2019;SpecialPack0;1
